 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Nov/2023
"Município";"AIH_aprovadas"
"230440 FORTALEZA";19193
"230445 FORTIM";20
"230450 FRECHEIRINHA";34
"230460 GENERAL SAMPAIO";2
"230470 GRANJA";123
"230480 GRANJEIRO";6
"230490 GROAIRAS";8
"230495 GUAIUBA";14
"230500 GUARACIABA DO NORTE";86
"230520 HIDROLANDIA";37
"230523 HORIZONTE";163
"230526 IBARETAMA";11
"230530 IBIAPINA";101
"230540 ICO";274
"230550 IGUATU";520
"230560 INDEPENDENCIA";26
"230565 IPAPORANGA";15
"230570 IPAUMIRIM";10
"230580 IPU";361
"230590 IPUEIRAS";59
"230600 IRACEMA";44
"230610 IRAUCUBA";26
"230625 ITAITINGA";39
"230630 ITAPAGE";58
"230640 ITAPIPOCA";949
"230650 ITAPIUNA";9
"230655 ITAREMA";108
"230670 JAGUARETAMA";89
"230680 JAGUARIBARA";37
"230690 JAGUARIBE";92
"230700 JAGUARUANA";53
"230710 JARDIM";23
"230720 JATI";17
"230725 JIJOCA DE JERICOACOARA";61
"230730 JUAZEIRO DO NORTE";1906
"230740 JUCAS";50
"230750 LAVRAS DA MANGABEIRA";128
"230760 LIMOEIRO DO NORTE";938
"230763 MADALENA";20
"230765 MARACANAU";1522
"230770 MARANGUAPE";177
"230780 MARCO";53
"230790 MARTINOPOLE";9
"230800 MASSAPE";39
"230810 MAURITI";223
"230820 MERUOCA";23
"230830 MILAGRES";197
"230835 MILHA";26
"230840 MISSAO VELHA";180
"230850 MOMBACA";174
"230860 MONSENHOR TABOSA";31
"230870 MORADA NOVA";215
"230880 MORAUJO";2
"230890 MORRINHOS";16
"230900 MUCAMBO";79
"230910 MULUNGU";9
"230920 NOVA OLINDA";10
"230930 NOVA RUSSAS";114
"230940 NOVO ORIENTE";84
"230945 OCARA";25
"230950 OROS";66
"230960 PACAJUS";32
"230970 PACATUBA";23
"230980 PACOTI";8
"231010 PALMACIA";3
"231020 PARACURU";53
"231025 PARAIPABA";25
"231030 PARAMBU";220
"231040 PARAMOTI";8
"231050 PEDRA BRANCA";70
"231060 PENAFORTE";19
"231070 PENTECOSTE";65
"231080 PEREIRO";56
"231085 PINDORETAMA";10
"231090 PIQUET CARNEIRO";44
"231100 PORANGA";10
"231110 PORTEIRAS";29
"231120 POTENGI";9
"231126 QUITERIANOPOLIS";15
"231130 QUIXADA";562
"231135 QUIXELO";61
"231140 QUIXERAMOBIM";1019
"231150 QUIXERE";38
"231160 REDENCAO";105
"231170 RERIUTABA";35
"231180 RUSSAS";460
"231190 SABOEIRO";24
"231195 SALITRE";33
"231200 SANTANA DO ACARAU";40
"231210 SANTANA DO CARIRI";32
"231220 SANTA QUITERIA";104
"231230 SAO BENEDITO";139
"231240 SAO GONCALO DO AMARANTE";229
"231270 SENADOR POMPEU";34
"231290 SOBRAL";3262
"231300 SOLONOPOLE";29
"231310 TABULEIRO DO NORTE";96
"231320 TAMBORIL";105
"231325 TARRAFAS";24
"231330 TAUA";1025
"231335 TEJUCUOCA";13
"231340 TIANGUA";713
"231350 TRAIRI";70
"231355 TURURU";4
"231360 UBAJARA";86
"231370 UMARI";15
"231375 UMIRIM";3
"231380 URUBURETAMA";12
"231390 URUOCA";1
"231395 VARJOTA";21
"231400 VARZEA ALEGRE";345
"231410 VICOSA DO CEARA";183
"240020 ACU";151
"240050 ALEXANDRIA";449
"240060 ALMINO AFONSO";353
"240070 ALTO DO RODRIGUES";6
"240080 ANGICOS";30
"240090 ANTONIO MARTINS";19
"240100 APODI";144
"240110 AREIA BRANCA";41
"240145 BARAUNA";17
"240180 BREJINHO";5
"240200 CAICO";516
"240230 CARAUBAS";10
"240250 CARNAUBAIS";5
"240260 CEARA-MIRIM";309
"240270 CERRO CORA";30
"240310 CURRAIS NOVOS";600
"240320 DOUTOR SEVERIANO";5
"240325 PARNAMIRIM";760
"240330 ENCANTO";3
"240340 EQUADOR";13
"240360 EXTREMOZ";31
"240370 FELIPE GUERRA";1
"240400 FRUTUOSO GOMES";8
"240420 GOIANINHA";23
"240450 GUAMARE";80
"240485 ITAJA";2
"240520 JANDUIS";26
"240530 JANUARIO CICCO";3
"240560 JARDIM DE PIRANHAS";8
"240570 JARDIM DO SERIDO";25
"240580 JOAO CAMARA";133
"240600 JOSE DA PENHA";14
"240610 JUCURUTU";63
"240650 LAGOA NOVA";13
"240670 LAJES";12
"240690 LUCRECIA";17
"240710 MACAIBA";152
"240720 MACAU";58
"240725 MAJOR SALES";8
"240740 MARTINS";20
"240760 MESSIAS TARGINO";1
"240780 MONTE ALEGRE";40
"240800 MOSSORO";2722
"240810 NATAL";7455
"240830 NOVA CRUZ";24
"240890 PARELHAS";9
"240910 PASSA E FICA";20
"240930 PATU";16
"240940 PAU DOS FERROS";408
"240980 PEDRO VELHO";3
"240990 PENDENCIAS";7
"241000 PILOES";5
"241030 SERRA CAIADA";5
"241060 RAFAEL GODEIRO";32
"241070 RIACHO DA CRUZ";5
"241120 SANTA CRUZ";560
"241140 SANTANA DO MATOS";11
"241142 SANTANA DO SERIDO";7
"241150 SANTO ANTONIO";282
"241200 SAO GONCALO DO AMARANTE";229
"241220 SAO JOSE DE MIPIBU";418
"241230 SAO JOSE DO CAMPESTRE";2
