 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Ago/2009
"Município";"AIH_aprovadas"
"250700 ITAPORANGA";191
"250730 JACARAU";37
"250740 JERICO";14
"250750 JOAO PESSOA";7711
"250770 JUAZEIRINHO";59
"250800 JURU";23
"250820 LAGOA DE DENTRO";17
"250830 LAGOA SECA";33
"250840 LASTRO";24
"250890 MAMANGUAPE";79
"250910 MARI";86
"250920 MASSARANDUBA";4
"250970 MONTEIRO";261
"251010 NOVA FLORESTA";17
"251080 PATOS";802
"251110 PEDRA LAVRADA";45
"251120 PEDRAS DE FOGO";84
"251130 PIANCO";233
"251140 PICUI";170
"251150 PILAR";12
"251200 POCINHOS";42
"251210 POMBAL";207
"251230 PRINCESA ISABEL";190
"251280 RIACHO DOS CAVALOS";29
"251290 RIO TINTO";107
"251320 SANTA CRUZ";56
"251330 SANTA HELENA";9
"251340 SANTA LUZIA";76
"251350 SANTANA DE MANGUEIRA";15
"251370 SANTA RITA";690
"251390 SAO BENTO";110
"251400 SAO JOAO DO CARIRI";63
"251430 SAO JOSE DE CAIANA";25
"251450 SAO JOSE DE PIRANHAS";60
"251490 SAO MAMEDE";14
"251530 SAPE";222
"251540 SAO VICENTE DO SERIDO";65
"251550 SERRA BRANCA";66
"251590 SERRARIA";25
"251600 SOLANEA";158
"251620 SOUSA";143
"251630 SUME";104
"251650 TAPEROA";25
"251660 TAVARES";10
"251670 TEIXEIRA";14
"251690 UIRAUNA";120
"251700 UMBUZEIRO";19
"260005 ABREU E LIMA";34
"260010 AFOGADOS DA INGAZEIRA";606
"260020 AFRANIO";54
"260030 AGRESTINA";99
"260040 AGUA PRETA";19
"260050 AGUAS BELAS";51
"260070 ALIANCA";51
"260080 ALTINHO";55
"260090 AMARAJI";35
"260110 ARARIPINA";532
"260120 ARCOVERDE";484
"260130 BARRA DE GUABIRABA";12
"260140 BARREIROS";338
"260150 BELEM DE MARIA";3
"260160 BELEM DE SAO FRANCISCO";87
"260170 BELO JARDIM";245
"260180 BETANIA";19
"260190 BEZERROS";234
