 Procedimentos hospitalares do SUS - por local de internação - Brasil
AIH aprovadas por Município
Período:Mar/2018
"Município";"AIH_aprovadas"
"231410 VICOSA DO CEARA";200
"240020 ACU";247
"240050 ALEXANDRIA";416
"240060 ALMINO AFONSO";106
"240070 ALTO DO RODRIGUES";9
"240080 ANGICOS";5
"240090 ANTONIO MARTINS";10
"240100 APODI";81
"240110 AREIA BRANCA";23
"240145 BARAUNA";20
"240180 BREJINHO";1
"240200 CAICO";487
"240220 CANGUARETAMA";30
"240230 CARAUBAS";32
"240240 CARNAUBA DOS DANTAS";12
"240250 CARNAUBAIS";4
"240260 CEARA-MIRIM";98
"240270 CERRO CORA";8
"240290 CORONEL JOAO PESSOA";4
"240310 CURRAIS NOVOS";204
"240325 PARNAMIRIM";538
"240330 ENCANTO";6
"240340 EQUADOR";1
"240360 EXTREMOZ";6
"240370 FELIPE GUERRA";20
"240400 FRUTUOSO GOMES";19
"240420 GOIANINHA";15
"240450 GUAMARE";108
"240490 ITAU";1
"240520 JANDUIS";11
"240530 JANUARIO CICCO";6
"240560 JARDIM DE PIRANHAS";32
"240570 JARDIM DO SERIDO";38
"240580 JOAO CAMARA";48
"240600 JOSE DA PENHA";5
"240610 JUCURUTU";61
"240650 LAGOA NOVA";9
"240670 LAJES";86
"240690 LUCRECIA";9
"240710 MACAIBA";62
"240720 MACAU";35
"240725 MAJOR SALES";3
"240740 MARTINS";9
"240780 MONTE ALEGRE";16
"240800 MOSSORO";1903
"240810 NATAL";7660
"240830 NOVA CRUZ";7
"240890 PARELHAS";66
"240910 PASSA E FICA";4
"240930 PATU";18
"240940 PAU DOS FERROS";525
"240980 PEDRO VELHO";2
"240990 PENDENCIAS";1
"241000 PILOES";7
"241020 PORTALEGRE";34
"241030 SERRA CAIADA";1
"241060 RAFAEL GODEIRO";5
"241070 RIACHO DA CRUZ";7
"241110 RUY BARBOSA";2
"241120 SANTA CRUZ";553
"241140 SANTANA DO MATOS";14
"241142 SANTANA DO SERIDO";3
"241150 SANTO ANTONIO";182
"241200 SAO GONCALO DO AMARANTE";262
"241220 SAO JOSE DE MIPIBU";18
"241230 SAO JOSE DO CAMPESTRE";8
"241250 SAO MIGUEL";61
"241260 SAO PAULO DO POTENGI";32
"241280 SAO RAFAEL";19
"241300 SAO VICENTE";3
"241330 SERRA DE SAO BENTO";8
"241340 SERRA NEGRA DO NORTE";5
"241355 SERRINHA DOS PINTOS";1
"241380 TABOLEIRO GRANDE";4
"241400 TANGARA";7
"241410 TENENTE ANANIAS";73
"241420 TIBAU DO SUL";3
"241440 TOUROS";18
"241460 UPANEMA";8
"250010 AGUA BRANCA";18
"250040 ALAGOA NOVA";16
"250070 SAO JOAO DO RIO DO PEIXE";20
"250090 ARARA";3
"250110 AREIA";7
"250130 AROEIRAS";2
"250150 BANANEIRAS";15
"250180 BAYEUX";40
"250190 BELEM";15
"250200 BELEM DO BREJO DO CRUZ";10
"250230 BOM SUCESSO";5
"250240 BONITO DE SANTA FE";38
"250250 BOQUEIRAO";23
"250280 BREJO DO CRUZ";60
"250320 CABEDELO";103
"250370 CAJAZEIRAS";478
"250400 CAMPINA GRANDE";4161
"250430 CATOLE DO ROCHA";142
"250440 CONCEICAO";32
"250480 COREMAS";3
"250500 CUBATI";34
"250510 CUITE";55
"250600 ESPERANCA";91
"250630 GUARABIRA";533
"250680 INGA";146
"250690 ITABAIANA";118
"250700 ITAPORANGA";91
"250710 ITAPOROROCA";12
"250750 JOAO PESSOA";6425
"250770 JUAZEIRINHO";9
"250830 LAGOA SECA";18
"250840 LASTRO";1
"250890 MAMANGUAPE";272
"250920 MASSARANDUBA";24
"250970 MONTEIRO";107
"251080 PATOS";372
"251090 PAULISTA";52
"251110 PEDRA LAVRADA";3
"251130 PIANCO";179
"251140 PICUI";152
"251200 POCINHOS";1
"251210 POMBAL";128
"251230 PRINCESA ISABEL";72
"251250 QUEIMADAS";216
"251340 SANTA LUZIA";55
"251370 SANTA RITA";515
"251390 SAO BENTO";65
"251450 SAO JOSE DE PIRANHAS";78
"251490 SAO MAMEDE";13
"251530 SAPE";4
"251540 SAO VICENTE DO SERIDO";2
"251550 SERRA BRANCA";45
"251600 SOLANEA";367
"251610 SOLEDADE";7
"251620 SOUSA";118
"251630 SUME";114
"251650 TAPEROA";178
"251690 UIRAUNA";128
"260005 ABREU E LIMA";126
"260010 AFOGADOS DA INGAZEIRA";654
"260020 AFRANIO";39
"260030 AGRESTINA";104
"260050 AGUAS BELAS";60
"260060 ALAGOINHA";4
"260070 ALIANCA";2
"260080 ALTINHO";10
"260090 AMARAJI";18
"260100 ANGELIM";6
"260110 ARARIPINA";711
"260120 ARCOVERDE";855
